Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.hiv.json	15476	-	0	0	0	0	0	0	4	103	0	0	0	0	0	0	0	2	0	0	134	168	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-HIV.A.json	8417	16	0	0	0	1	0	0	1	31	0	0	0	0	0	0	0	1	0	0	57	2501	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HIV.B.json	52823	81	1	0	0	0	0	0	3	133	0	0	3	0	0	0	0	0	0	0	331	207	0	0	0	13	0	1
fsh-generated/resources/CodeSystem-HIV.C.json	29926	38	0	0	0	0	0	0	2	55	0	0	0	0	0	0	0	0	0	0	172	89	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-HIV.Configuration.json	5157	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	40	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIV.D.json	176035	216	2	0	0	0	0	0	12	534	0	0	0	0	0	0	0	2	0	0	1031	631	0	0	0	34	0	2
fsh-generated/resources/CodeSystem-HIV.EF.json	45437	59	1	0	0	0	0	0	4	71	0	0	1	0	0	0	0	0	0	0	255	139	0	0	0	8	0	0
fsh-generated/resources/CodeSystem-HIV.G.json	12271	22	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	75	73	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HIV.H.json	13239	24	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	83	71	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.I.json	3717	7	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	28	51	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-HIV.Prevention.json	5112	9	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	36	55	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-HIV.BHTSVisit.json	96521	148	0	0	0	0	0	0	14	24603	0	0	0	0	0	0	0	1	0	0	720	374	0	0	0	15	0	2
fsh-generated/resources/ConceptMap-HIV.D.HIVTB.json	47218	74	0	0	0	0	0	0	7	12881	0	0	0	0	0	0	0	1	0	0	439	182	0	0	0	7	0	1
fsh-generated/resources/ConceptMap-HIV.EF.PMTCT.json	97239	150	0	0	0	0	0	0	13	23131	0	0	0	0	0	0	0	1	0	0	711	312	0	0	0	14	0	2
fsh-generated/resources/ConceptMap-HIV.Prevention.json	8607	15	0	0	0	0	0	0	1	1421	0	0	0	0	0	0	0	0	0	0	68	40	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-HIVARegistration.json	19211	31	0	0	0	0	0	0	2	5256	0	0	0	0	0	0	0	1	0	0	138	101	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-HIVCPrEP.json	87304	135	0	0	0	0	0	0	12	20014	0	0	0	0	0	0	0	1	0	0	638	277	0	0	0	14	0	2
fsh-generated/resources/ConceptMap-HIVConfiguration.json	989	4	1	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	18	22	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-HIVDCareTreatment.json	363997	571	0	0	0	0	0	0	43	116135	0	0	0	0	0	0	0	5	0	0	2780	594	0	0	0	62	0	8
fsh-generated/resources/ConceptMap-HIVGDiagnostics.json	27798	44	0	0	0	0	0	0	2	3481	0	0	0	0	0	0	0	0	0	0	212	72	0	0	0	4	0	0
